time,line,emotion,score
173.069,"the one, the only...",neutral,0.48999372124671936
175.006,Oh... We got a penalty.,sadness,0.33167579770088196
177.785,"- [Sadness crying] - That's right,",sadness,0.9785178899765015
179.047,Sadness is in the house!,sadness,0.9799282550811768
181.224,Yay...,joy,0.8623514175415039
182.489,[female announcer] <i>Andersen goes to the box.</i>,neutral,0.915720522403717
184.356,<i>Two minutes for tripping.</i>,neutral,0.7180843353271484
185.86,"[Joy] <i>Okay, looks like we have a couple of minutes</i>",neutral,0.8943755626678467
187.527,<i>while Riley takes a breather.</i>,neutral,0.4599352777004242
189.475,<i>Let me catch you up.</i>,neutral,0.9012075066566467
190.875,<i>Riley is still exceptional.</i>,neutral,0.8529356122016907
193.514,[Riley] Ta-da!,anger,0.30519717931747437
194.845,Oh. Yum.,disgust,0.8817561864852905
196.186,[Joy] <i>And not just because she's the top</i>,neutral,0.8464653491973877
197.451,- <i>of her class...</i> - <i>Riley Andersen.</i>,neutral,0.708109438419342
198.651,"[Joy] <i>...which, by the way, she is.</i>",neutral,0.46078887581825256
200.188,"Riley, Riley, over here!",joy,0.5761256814002991
201.599,"[Joy] <i>She's also really kind,</i>",joy,0.6367325186729431
204.165,<i>and she's nice to stray cats.</i>,joy,0.7617530226707458
206.332,"<i>I mean, come on.</i>",anger,0.7036609649658203
207.709,"<i>Oh, and she's officially</i>",surprise,0.8253489136695862
209.045,- <i>a teenager now.</i> - [parents cheering],joy,0.9873458743095398
210.543,"[Joy] <i>She got very tall, very fast.</i>",neutral,0.7112143635749817
212.72,[Anger] <i>Did we grow overnight?</i>,anger,0.9737629890441895
214.52,[Sadness] <i>Oh. That was our favorite shirt.</i>,sadness,0.9837199449539185
217.195,[Joy] <i>We even got braces with extra rubber bands!</i>,neutral,0.4336737096309662
220.837,- [dentist] How does it feel? - Great!,joy,0.9536322355270386
222.64,- [dentist] Ow! - Sorry.,sadness,0.7045834064483643
223.943,[Joy] <i>Riley's Personality Islands</i>,neutral,0.8694952130317688
226.108,<i>are still going strong.</i>,neutral,0.9015334248542786
227.808,Glad to see Boy Band Island finally broke up.,sadness,0.8316298723220825
230.55,But Goofball is still monkeying around. [laughs],neutral,0.705496609210968
233.485,"Wait, where's Family Island?",neutral,0.7348676323890686
235.222,It's right there.,neutral,0.898402988910675
237.603,"[Sadness] Oh, there it is.",sadness,0.9678386449813843
239.738,What's that blocking it?,surprise,0.7000327706336975
241.768,"[Joy] Oh, that's Friendship Island.",surprise,0.8262442350387573
243.337,Isn't it amazing?,surprise,0.9582500457763672
244.717,<i>But we realized her islands</i>,surprise,0.7795358896255493
246.713,<i>aren't the only things made by memories.</i>,neutral,0.9000301957130432
249.319,"<i>Way down, at the root level,</i>",neutral,0.9265591502189636
251.02,<i>these memories were also creating beliefs.</i>,neutral,0.8735560774803162
254.531,[Riley echoing] <i>Homework should be illegal.</i>,anger,0.375038743019104
256.538,[groaning],disgust,0.696918249130249
257.934,[echoing] <i>Get Up and Glow is the best band ever!</i>,joy,0.5248745083808899
260.982,[Joy] <i>And my personal favorite...</i>,joy,0.7512626051902771
262.986,[Riley echoing] <i>I'm a really good friend.</i>,joy,0.9725705981254578
264.713,Did you know the change in your couch,surprise,0.8291873335838318
267.553,"could change the world? Oh, no!",surprise,0.8534346222877502
269.593,- [children exclaiming] - [coins clinking],joy,0.8291505575180054
271.195,[children laughing],joy,0.8796287775039673
273.972,"Oh, no, we should do something.",fear,0.4586631655693054
275.571,No! That girl is a social <i>Titanic.</i>,neutral,0.3330491781234741
277.608,- Do not get on that ship. - [Fear] Uh...,fear,0.9520576000213623
279.384,Guys...,neutral,0.6181163787841797
281.313,- [gasps] - Wow.,surprise,0.9641467332839966
282.623,[all gasping],neutral,0.5290517210960388
283.659,[Joy] That is so pretty.,joy,0.5063053369522095
286.159,[children chuckling],joy,0.7204476594924927
288.894,It's okay. I drop things all the time.,neutral,0.36581188440322876
296.11,I'm Riley.,neutral,0.8885048627853394
298.015,I'm Grace.,neutral,0.9339017271995544
300.184,I'm Bree.,neutral,0.8894574046134949
302.963,"[Joy] <i>Turns out, when you put</i>",neutral,0.7561931610107422
304.133,"<i>all of those beliefs together,</i>",neutral,0.9093236327171326
305.5,<i>they make the most wonderful thing of all.</i>,joy,0.8967357873916626
307.838,<i>Her Sense of Self.</i>,neutral,0.6399000883102417
309.802,[Riley echoing] <i>I'm a good person.</i>,joy,0.9058786034584045
311.414,[Joy] <i>It's what helps Riley make good choices.</i>,joy,0.7768110036849976
315.019,"<i>Thirteen years of hard work,</i>",joy,0.4706140160560608
316.854,<i>all wrapped up in what some might call our masterpiece.</i>,neutral,0.808742880821228
321.229,"<i>You know, one of the hardest</i>",neutral,0.32328036427497864
322.433,- <i>challenges we found...</i> - [buzzer sounds],joy,0.4990023076534271
323.733,"[Joy] <i>Oh, my gosh! We're back in the game.</i>",surprise,0.8945429921150208
324.698,[Sadness gasps] <i>We're tied.</i>,sadness,0.9848930835723877
327.374,How are we gonna score in time?,neutral,0.49862170219421387
328.643,[Fear] <i>Oh! We use our slap shot!</i>,fear,0.9724003672599792
330.051,"No, no, no. We charge the goalie!",anger,0.9268223643302917
332.283,But Grace hasn't scored yet.,neutral,0.8457441329956055
336.388,Riley's got this.,neutral,0.8538123369216919
340.704,Thread the needle!,anger,0.6259941458702087
344.072,"Come on, Riley.",neutral,0.7708725333213806
345.713,[player grunts],anger,0.41942793130874634
346.783,[audience cheering],joy,0.977969765663147
348.911,- [grunts] - [players clamoring],neutral,0.6361109614372253
350.558,[Riley panting],neutral,0.6158643364906311
353.564,[player grunts],anger,0.41942793130874634
356.327,[panting],disgust,0.4002476632595062
362.948,- [grunts] - [buzzer sounds],neutral,0.7810235619544983
366.415,[audience cheering],joy,0.977969765663147
367.715,[all] Awooga! [chuckling],disgust,0.3030005693435669
369.695,[all] Awooga!,surprise,0.40512627363204956
371.131,"Yeah, that's what I'm talking about!",surprise,0.4355890154838562
372.66,Look at that! That's my girl!,anger,0.3648119568824768
374.502,[female announcer] <i>And the Foghorns</i>,neutral,0.9226042032241821
375.698,<i>win the championship!</i>,joy,0.7733420729637146
377.436,[all cheering],joy,0.96319979429245
380.584,[cheering],joy,0.8247010111808777
382.849,"- She shoots and she scores! - Champions, baby!",joy,0.7847707867622375
384.792,"[woman] Hey, girls.",joy,0.4851926267147064
385.894,Congratulations on your win.,joy,0.6872278451919556
387.793,- That's the high school coach! - [both exclaiming],surprise,0.6810221076011658
390.427,What a game!,surprise,0.8930420279502869
391.905,That last play? Whoo!,surprise,0.9125670194625854
393.701,The three of you were impressive.,surprise,0.7379528284072876
395.78,"Thanks, Coach Roberts.",neutral,0.5115031003952026
397.278,"Look, it's last minute,",neutral,0.3688230514526367
398.583,"but every year, I do a three-day skills camp.",neutral,0.8640648722648621
401.621,I invite all the best players in the area.,joy,0.5262778401374817
403.623,I'd love for you girls to come.,joy,0.8842685222625732
406.395,Are we in a dream right now?,surprise,0.6570048928260803
407.762,"Please, can somebody pinch me?",fear,0.4791540205478668
409.463,Ow!,disgust,0.4210648834705353
410.533,Definitely awake.,neutral,0.8994084596633911
411.702,"If we impress Coach,",neutral,0.802486777305603
413.04,she'll put the three of us on the team next year.,neutral,0.9466811418533325
414.917,Ooh! The Fire Hawks!,surprise,0.8300542831420898
416.746,"Finally, a team I can get behind.",neutral,0.7632110118865967
419.583,What do you say?,surprise,0.6839641332626343
420.785,- Yes! - Absolutely yes.,joy,0.3333083689212799
421.855,"- We're there! - Thank you,",joy,0.8708739280700684
423.024,"- thank you, thank you! - Great.",joy,0.926914632320404
424.331,We'll see you tomorrow.,neutral,0.481790691614151
425.872,Ah! This is amazing!,joy,0.6088098883628845
427.501,[all laughing],joy,0.6461085081100464
431.784,[knocking at door],fear,0.4918392300605774
432.953,- What a big day! - [exclaims],surprise,0.7711878418922424
434.748,You are such an all-star!,surprise,0.7409998774528503
436.182,You are gonna knock the coach's skates off!,anger,0.8441628217697144
438.693,"Hockey scholarship, here we come!",joy,0.48804357647895813
441.098,"Dad, stop.",anger,0.6756891012191772
441.97,It's just hockey camp.,neutral,0.9549859166145325
443.769,"I mean, who knows what'll happen?",anger,0.2589278221130371
448.813,"- [referee blows whistle] - <i>Twenty-eight. Andersen,</i>",fear,0.3205544650554657
450.683,- <i>tripping.</i> - [Sadness whimpering],sadness,0.9839022755622864
451.917,My penalty almost lost us the game today.,fear,0.5442285537719727
454.725,What if I get to camp and I screw it up?,anger,0.8586980104446411
456.791,"Hey, don't talk like that.",anger,0.4900338351726532
458.192,"Yeah, you did great today, honey.",joy,0.504462480545044
460.567,Exactly. Mom gets it.,neutral,0.8975890874862671
462.845,"Yeah, I guess.",neutral,0.8293735384941101
464.508,We're so proud of you.,neutral,0.5647306442260742
466.285,"Night, monkey. [mimics chittering]",neutral,0.7676535844802856
468.116,"- [mimics chittering, laughs] - All right, all right.",joy,0.8862838745117188
469.75,"Sleep tight, honey.",neutral,0.6331629753112793
471.224,[door closes],neutral,0.4552353322505951
473.49,[sighs],disgust,0.4457285702228546
476.602,"Oh, Riley's so hard on herself.",sadness,0.45037683844566345
479.608,But we can make everything easier.,neutral,0.9417767524719238
482.31,[grunts],neutral,0.6844353079795837
483.382,"Behold, my super high-tech",neutral,0.6883625984191895
485.653,- Riley protection system. - [clangs],neutral,0.9381492733955383
489.326,"Don't look, it's fine.",anger,0.5663056969642639
490.595,This is for all those memories,neutral,0.9594694972038269
492.236,"that belong in the Back of the Mind,",neutral,0.7609455585479736
494.534,like this penalty one.,neutral,0.4136674404144287
496.137,"It's weighing on her, so let's lighten the load.",neutral,0.7080657482147217
499.016,"A one-way expressway to,",neutral,0.8587700128555298
500.983,"""We're not gonna think about that right now."" Whoo!",disgust,0.5545782446861267
506.662,"- [Anger] Not bad. - [Sadness] Oh, Joy.",sadness,0.7603824138641357
507.929,- That's pretty impressive. - You worked hard.,surprise,0.6700296401977539
509.026,You take such good care of Riley.,neutral,0.7171779870986938
511.402,"Thanks, I try.",neutral,0.6742120981216431
512.933,"Okay, let's do a sweep.",neutral,0.8243358135223389
515.039,"Oh, here's one where she waved at a guy",neutral,0.33604687452316284
516.814,who was actually waving at a girl behind her.,disgust,0.6555535197257996
519.015,"Oh, that was so bad. Good choice.",disgust,0.9019479155540466
521.186,"Oh, here's when she forgot that girl's name.",surprise,0.6971107125282288
523.957,"Oh, yeah, that was super awkward.",disgust,0.9068347811698914
525.264,What was her name?,neutral,0.6563006043434143
526.37,"I don't know, Janet or something?",surprise,0.682608425617218
527.738,Whatever. Let's just get rid of it. Oh! [chuckles],anger,0.44368061423301697
529.465,We keep the best and toss the rest. [sighs],sadness,0.588106095790863
533.743,"Nice work, everyone.",neutral,0.5862545371055603
535.218,"All right, Anger,",anger,0.9785065054893494
536.346,the rest of these babies can go to long-term.,neutral,0.8444613814353943
544.866,"Oh, okay. Let's get some shut-eye.",neutral,0.47153788805007935
546.933,Big day tomorrow.,surprise,0.5470905303955078
555.324,"Joy, are you taking that",joy,0.5631489753723145
557.321,where I think you're taking that?,surprise,0.8329524397850037
559.963,- Wanna come this time? - Yes.,neutral,0.6784667372703552
562.402,I mean no. I...,disgust,0.47275295853614807
563.473,"Oh, no. I really shouldn't.",disgust,0.25811535120010376
565.907,"You know, you're the only one",neutral,0.7808051109313965
567.11,who hasn't been to the Belief System.,neutral,0.488589346408844
568.946,"Yeah, it's just that it's new,",neutral,0.9244904518127441
570.588,and I know how important it is.,neutral,0.8914802670478821
572.451,"And I don't wanna mess it up or break it,",anger,0.3757040798664093
575.73,or burn it to the ground or anything.,anger,0.9447904229164124
578.099,"Sadness, you won't hurt it, I promise.",sadness,0.9777874946594238
580.775,Have I ever steered you wrong before?,neutral,0.5287530422210693
582.475,"Yeah, many times.",neutral,0.8679372072219849
584.444,Come on.,anger,0.4805103838443756
585.58,[panel chimes],neutral,0.8790956735610962
586.781,"Where I go, you go.",neutral,0.8311096429824829
595.031,[♪ enchanting music playing],joy,0.936810314655304
608.36,[elevator dings],neutral,0.9234845638275146
613.405,"[gasps] Oh, my goodness.",surprise,0.890556812286377
618.143,[♪ gentle piano music playing],joy,0.5917529463768005
623.918,[splashing],neutral,0.7082419395446777
635.478,Whoa!,surprise,0.8872137069702148
647.164,[cord reverberates],neutral,0.6181827187538147
648.803,[young Riley echoing] <i>Mom and Dad are proud of me.</i>,joy,0.6499423980712891
650.578,Ah! An oldie but a goodie.,joy,0.6830934882164001
654.315,[Young Riley] [Riley] [echoing] <i>I'm kind.</i>,neutral,0.8264021277427673
655.948,Aw. That's nice.,joy,0.5488492250442505
659.522,[Riley echoing] <i>I'm strong. I'm brave.</i>,joy,0.8712339401245117
661.16,<i>I'm a really good friend.</i>,joy,0.9839670062065125
662.798,[chuckles softly],neutral,0.8402857780456543
666.134,[muffled laughter],anger,0.443082720041275
679.897,[reverberates],neutral,0.8919205069541931
680.968,[Riley echoing] <i>I'm a winner.</i>,joy,0.8964233994483948
682.372,[Joy] <i>And all those beliefs come together</i>,neutral,0.7999892234802246
684.908,<i>to make our Riley.</i>,neutral,0.5420552492141724
687.277,[Riley] <i>I'm a good person.</i>,joy,0.926798403263092
692.994,- [Joy snoring] - [Anger mumbling],anger,0.9669150710105896
699.507,[Joy chuckles],joy,0.5402806997299194
700.97,[distinct beep],neutral,0.708901047706604
702.81,"[chuckles, snores]",disgust,0.48168861865997314
705.884,- [distinct beep] - [mumbles],neutral,0.4891946315765381
710.023,[continues snoring],neutral,0.696419358253479
711.157,- [distinct beep] - Huh?,surprise,0.9205580353736877
712.862,[groaning],disgust,0.696918249130249
714.002,- What the heck is that? - [distinct beep],surprise,0.8287700414657593
722.848,[beeps],neutral,0.4972098767757416
724.522,[groans softly],neutral,0.7864375710487366
734.843,- [alarm blaring] - [all screaming],fear,0.7469224333763123
737.208,"Turn that off, Joy!",anger,0.5609008073806763
738.545,"[Fear] People, it's the apocalypse!",fear,0.9505306482315063
741.29,No!,anger,0.5688469409942627
742.218,What are you doing?,surprise,0.6313465237617493
744.562,[grunts] Um...,neutral,0.6275985240936279
751.069,[panting],disgust,0.4002476632595062
755.11,[chuckles] Whoo!,surprise,0.8827816843986511
756.816,Problem solved.,neutral,0.8383029699325562
758.522,Joy.,joy,0.5550557971000671
759.619,- [glass shatters] - [all screaming],anger,0.6335333585739136
764.396,"Okay, let's clear it all out.",neutral,0.4434664249420166
766.501,- It's demo day. - [workers cheering],joy,0.9797416925430298
770.712,[Joy] Demo?,surprise,0.6615706086158752
771.85,"Wait, wait, what's happening?",neutral,0.635684609413147
773.453,What's going on?,surprise,0.7751653790473938
774.989,"- [roaring] - Whoa, whoa, whoa!",surprise,0.9339504837989807
777.161,- [worker grunts] - [screams] Who are you people?,surprise,0.475274920463562
780.5,[screams],fear,0.7690978646278381
781.835,- [screams] - [worker laughs],joy,0.9492158889770508
783.272,"Hey, are you the one in charge here? [exclaims]",surprise,0.30991217494010925
785.943,Could you do me a favor and stop,anger,0.7150219678878784
787.242,tearing Headquarters apart?,surprise,0.8464491963386536
788.849,No can do. Didn't you hear?,surprise,0.381321519613266
790.148,Permits just came through.,neutral,0.9356645345687866
791.523,Permits? For what?,anger,0.5347614884376526
793.021,For expanding the place.,joy,0.5800251364707947
794.586,"You know, for the others.",neutral,0.7923367023468018
795.998,- [worker exclaims] - [Joy coughs],joy,0.7994406819343567
797.06,What others?,surprise,0.6954044699668884
798.2,"They're not here yet? Aye, yi, yi.",neutral,0.5342651605606079
800.369,"Hey, Margie, you got that console?",surprise,0.5719548463821411
802.274,"Yeah, yeah, yeah. Give me a sec!",anger,0.5899981260299683
804.078,"Hey, hey! What are you doing?",joy,0.34657225012779236
805.314,- All right. She's all set. - Set with what?,neutral,0.8204526901245117
807.216,"[Dad] <i>Come on, Riley. Get up.</i>",neutral,0.5660725235939026
808.855,- Camp time. - [groans softly],neutral,0.8138167262077332
810.691,Lunch break!,neutral,0.4535546600818634
812.224,[workers chattering],disgust,0.5132971405982971
813.462,"Wait, wait! You can't leave it like this.",neutral,0.5164164304733276
815.098,"Don't worry, we'll be back.",neutral,0.514453113079071
816.534,[Dad] <i>Come on. We're gonna be late.</i>,sadness,0.30276283621788025
818.04,"- Oh, no, no, no! - [Dad] <i>Let's go!</i>",anger,0.38349243998527527
819.874,[groaning],disgust,0.696918249130249
822.411,"Riley, you aren't packed yet?",surprise,0.6529554128646851
825.856,Ugh! You're always on me!,disgust,0.7548651695251465
828.162,"Can't you just lay off for, like, one second?",neutral,0.49608728289604187
830.964,"Uh, overreact much?",anger,0.6434552073478699
832.769,I barely touched it.,surprise,0.492870569229126
834.138,Those morons broke the console.,anger,0.7652310132980347
836.172,"Riley, what's wrong?",anger,0.4172648787498474
838.082,"- Oh, Mom looks sad. - [console clicks]",sadness,0.9737536311149597
840.553,I'm the worst!,disgust,0.9805874824523926
842.518,"- [Mom] Oh, no. Honey. - [crying]",sadness,0.6426138281822205
844.32,I barely touched it.,surprise,0.492870569229126
845.927,That's what I said.,neutral,0.9254571199417114
847.092,[sobbing],neutral,0.7192423939704895
848.502,[sniffing],disgust,0.7513147592544556
851.635,Let the professional handle this.,neutral,0.8857567310333252
855.315,I'm too gross to go to camp or anywhere ever again!,disgust,0.9765824675559998
860.188,"Oh, yeah, this is totally broken.",disgust,0.5878633260726929
862.723,"Well, we all knew this day would come.",neutral,0.7948789000511169
864.895,"Remember, we agreed not to make a big deal about this.",neutral,0.89578777551651
867.601,- But she really does stink. - [all agree],disgust,0.9026767015457153
869.203,"Oh, it's bad.",disgust,0.8491895794868469
870.442,Remain calm. Stick to the prepared script.,neutral,0.825101912021637
873.312,"You are not gross, honey.",disgust,0.9527716040611267
875.854,You're just changing.,neutral,0.7259038686752319
878.016,Remember that beautiful butterfly,neutral,0.9494748115539551
879.49,we saw in the park last week?,surprise,0.6163416504859924
881.257,"[echoing] <i>Well, that butterfly began as a caterpillar.</i>",neutral,0.8982802629470825
882.834,[Joy] Easy...,neutral,0.5981194972991943
884.162,[Mom] <i>And just like that caterpillar...</i>,neutral,0.8475105166435242
885.034,Easy...,neutral,0.921409010887146
886.275,<i>...you're about to get your wings.</i>,neutral,0.6659018993377686
887.608,"- But if you have questions... - Oh, my gosh, Mom!",surprise,0.6625545024871826
889.242,Just go away! Ugh!,disgust,0.8210895657539368
892.145,"Well, that's a preview of the next 10 years.",neutral,0.9670661091804504
895.818,"- Riley! - Oh, my gosh!",surprise,0.9153076410293579
897.331,- We're gonna have so much fun! - [Dad] All right.,joy,0.9467218518257141
898.46,Who's ready for hockey camp?,neutral,0.9253385066986084
900.77,"[girls] Oh, yeah!",surprise,0.3140582740306854
901.965,"[Joy] <i>Okay, until we can figure this out,</i>",neutral,0.8625301122665405
903.476,nobody touch the console unless you really need to.,neutral,0.9139158725738525
907.713,"So, big weekend for us. What do you wanna do?",joy,0.41261592507362366
910.554,"Well, we could finally clean out the garage.",neutral,0.603571891784668
912.391,"Or, actually, we can get upstairs...",neutral,0.8833369016647339
914.263,How great is next year gonna be?,surprise,0.6683036684989929
916.392,Coach Roberts' team has been state champs like every year.,neutral,0.7990608811378479
920.143,And Val Ortiz is the captain now.,neutral,0.9119166135787964
923.514,This Valentina Ortiz obsession is outta control.,anger,0.4445148706436157
926.621,"Uh, she made the Fire Hawks when she was only a freshman.",neutral,0.8774516582489014
929.355,That's really hard.,disgust,0.3804522454738617
931.221,"All we have to do is be super awesome at camp,",neutral,0.6050366163253784
933.392,"Coach will put us on the team, and we'll all be Fire Hawks!",neutral,0.5401092171669006
938.102,"- Wait, what was that? - What was what?",surprise,0.9088925123214722
939.676,We got a look. I don't like this.,disgust,0.8769860863685608
941.918,What? You're paranoid.,anger,0.33057525753974915
943.184,I never miss a look.,neutral,0.5118210911750793
947.491,[Disgust] Enhance 224... 176.,disgust,0.9634832143783569
949.361,Track right. Zoom in.,neutral,0.9537651538848877
951.594,Right there!,surprise,0.5216386318206787
953.568,- So? - She's hiding something.,surprise,0.39920181035995483
955.877,But what?,surprise,0.8208372592926025
959.82,What is she doing?,surprise,0.651098370552063
960.956,She's looking at our look!,surprise,0.5685117244720459
962.223,"No, it's much more than that.",neutral,0.8859766125679016
967.463,She looks the same to me.,disgust,0.6651835441589355
968.828,Overlay and compare.,neutral,0.9608078598976135
970.2,"See? Riley then, Riley now. Riley then, Riley now.",neutral,0.6756267547607422
973.842,"- [all gasp, exclaim] - Oh, It's so obvious!",surprise,0.8814605474472046
975.808,But what does it mean?,neutral,0.4864594042301178
977.484,She knows we're hiding something.,anger,0.40587735176086426
981.458,What is happening right now?,surprise,0.6367303729057312
982.889,I don't know! I don't know!,surprise,0.7559544444084167
983.96,- I can't take this anymore! - Ah!,anger,0.5256285667419434
986.103,You spilled the tea!,anger,0.6989152431488037
987.838,Coach Roberts isn't gonna be our coach next year.,sadness,0.5116152167320251
989.91,Grace!,joy,0.3013933002948761
990.979,[whimpers],disgust,0.4033295214176178
993.276,We... We got assigned to a different high school.,sadness,0.43212658166885376
996.154,A-ha! Oh...,joy,0.7373402118682861
997.959,"Oh, no.",disgust,0.23084723949432373
999.621,Oh...,neutral,0.6805174946784973
1000.8,Okay. Um...,neutral,0.6940648555755615
1002.002,Yeah. No big deal.,neutral,0.6569210886955261
1003.637,- This is a huge deal! - Our life is over!,joy,0.45627361536026
1005.934,Is she serious right now?,surprise,0.2717362344264984
1007.147,How long have they known this?,neutral,0.6810307502746582
1008.539,- [Fear] I can't breathe. - We can't go to high school,fear,0.979516327381134
1009.748,- without Bree and Grace. - We won't know anybody.,sadness,0.4976687431335449
1011.649,We'll still get to hang out.,neutral,0.8732495307922363
1013.157,"And we'll have this weekend,",neutral,0.9253441095352173
1014.723,which means we'll get one last time,neutral,0.7016924023628235
1016.527,playing on the same team.,sadness,0.47747382521629333
1017.958,"Friends are forever, right?",neutral,0.8938308358192444
1020.664,Yeah. Of course.,neutral,0.7980110049247742
1022.844,[both] Whoo!,surprise,0.8953195810317993
1023.907,I can't wait to get to the rink.,joy,0.9784965515136719
1025.347,When do we get our schedules?,neutral,0.829735517501831
1026.517,[Grace] I heard our room has a view...,surprise,0.6058754920959473
1028.946,"Oh, this is so sad.",sadness,0.9731462001800537
1030.993,"No, wait, Sadness!",sadness,0.9632951021194458
1032.519,"- No, no, no! Don't! - I don't have a good grip!",fear,0.4609321355819702
1033.896,Just keep it together until we're out of the car.,neutral,0.9017876982688904
1037.269,[Dad] Here we are.,neutral,0.8449883460998535
1038.833,This looks really cool.,joy,0.7771936655044556
1040.942,Are you sure you don't need an assistant coach?,surprise,0.4309062659740448
1042.841,'Cause I am available.,neutral,0.48881208896636963
1043.946,- [Mom] Bill. - [Dad] No? All right.,neutral,0.6391708254814148
1045.313,- We'll see you in a few days. - [Mom] Have fun!,joy,0.835536777973175
1046.856,- [Bree] Thanks so much. Bye! - Don't miss us too much.,joy,0.6206575632095337
1048.216,"- Okay, bye! - Wait. Riley,",neutral,0.4007275104522705
1050.09,are you sure you have everything?,surprise,0.811091959476471
1051.461,- Stick? - Yes.,neutral,0.8349693417549133
1052.694,- Gloves? - Yes.,neutral,0.7541378140449524
1053.868,"- You have your phone? - Yes, of course.",neutral,0.6562560200691223
1055.001,"- Fully charged? - Yeah, it's like 50.",neutral,0.6083793044090271
1056.802,"- What? - Dad, it's fine.",anger,0.47319671511650085
1057.939,"Okay, call us if you need us.",neutral,0.7429790496826172
1059.445,I love you. Go get 'em.,joy,0.8996356725692749
1060.513,Okay. Love you guys.,joy,0.49053025245666504
1061.684,- Don't forget the deodorant! - Mom!,neutral,0.36632296442985535
1064.288,"Bye, monkey.",disgust,0.5048969388008118
1067.756,"Okay, now.",anger,0.3800849914550781
1070.695,[crying],disgust,0.6300959587097168
1075.113,It's okay. We need this.,neutral,0.6544657945632935
1079.989,[sniffles],neutral,0.7100306153297424
1081.783,[gasps],neutral,0.8055470585823059
1083.091,"[Disgust] <i>Guys, these are high-schoolers.</i>",disgust,0.9780870676040649
1085.157,- Oh... - We do not wanna be,sadness,0.6422870755195618
1086.234,"red and puffy, do we?",sadness,0.3995991349220276
1087.299,No.,neutral,0.8298872113227844
1088.463,"Don't worry, we'll have plenty of time",neutral,0.7702524065971375
1090.169,to think about this after camp.,fear,0.3829989731311798
1091.876,"<i>Now, where did Bree and Grace go?</i>",neutral,0.8067987561225891
1094.549,- Oh! There they are. - Wait.,surprise,0.8316085338592529
1096.147,Aren't those traitors dead to us?,disgust,0.482751727104187
1098.216,Our best friends? [scoffs] No.,neutral,0.38816747069358826
1102.165,[girl] Whoa! Hey!,surprise,0.5790343284606934
1104.301,Are you okay?,anger,0.5183189511299133
1106.005,[gasps] Everybody act regular. It's Valentina Ortiz.,neutral,0.8525587916374207
1108.542,- Ah! - We gotta say something.,joy,0.2739124298095703
1110.248,- Uh... - Hey.,neutral,0.5117377042770386
1112.418,- Hi. I'm Val... - I know.,neutral,0.5347534418106079
1113.717,"You're the varsity captain,",neutral,0.7706099152565002
1114.854,"you set the all-time goal record as a junior,",neutral,0.624763011932373
1116.585,"your favorite color's red, and your skates...",neutral,0.5417775511741638
1118.055,What are we saying?,surprise,0.6577214598655701
1119.166,We are so uncool.,disgust,0.7705867290496826
1120.435,Why are we still holding her hand?,anger,0.5598868131637573
1122.398,"Just like me. [gasps, chuckles nervously]",fear,0.8711808323860168
