line,emotion,score
- <i>Riley Andersen.</i>,neutral,0.6918788552284241
[Joy],neutral,0.8964211940765381
"<i>...which, by the way, she is.</i>",neutral,0.46561405062675476
"Riley, Riley, over here!",joy,0.5761256814002991
"[Joy] <i>She's also really kind,</i>",joy,0.6367325186729431
<i>and she's nice to stray cats.</i>,joy,0.7617530226707458
"<i>I mean, come on.</i>",anger,0.7036609649658203
"<i>Oh, and she's officially</i>",surprise,0.8253489136695862
- <i>a teenager now.</i>,neutral,0.4494324326515198
- [parents cheering],joy,0.9852939248085022
[Joy],neutral,0.8964211940765381
"<i>She got very tall, very fast.</i>",neutral,0.5638004541397095
[Anger] <i>Did we grow overnight?</i>,anger,0.9737629890441895
[Sadness] <i>Oh.,sadness,0.9832338690757751
That was our favorite shirt.</i>,neutral,0.5838449001312256
[Joy] <i>We even got braces,neutral,0.6274836659431458
with extra rubber bands!</i>,surprise,0.6697584986686707
- [dentist] How does it feel?,neutral,0.5528023838996887
- Great!,joy,0.9351771473884583
- [dentist] Ow!,surprise,0.5676591396331787
- Sorry.,sadness,0.9354150891304016
[Joy] <i>Riley's,neutral,0.6074313521385193
Personality Islands</i>,neutral,0.9289188385009766
<i>are still going strong.</i>,neutral,0.9015334248542786
Glad to see Boy Band Island,joy,0.9701446294784546
finally broke up.,sadness,0.7832682728767395
But Goofball is still,neutral,0.6767216920852661
monkeying around. [laughs],neutral,0.5043253302574158
"Wait, where's Family Island?",neutral,0.7348676323890686
It's right there.,neutral,0.898402988910675
"[Sadness] Oh, there it is.",sadness,0.9678386449813843
What's that blocking it?,surprise,0.7000327706336975
[Joy],neutral,0.8964211940765381
"Oh, that's Friendship Island.",neutral,0.6356338858604431
Isn't it amazing?,surprise,0.9582500457763672
<i>But we realized her islands</i>,surprise,0.7795358896255493
<i>aren't the only things,neutral,0.8743284344673157
made by memories.</i>,neutral,0.8718674182891846
"<i>Way down, at the root level,</i>",neutral,0.9265591502189636
<i>these memories,neutral,0.9227344989776611
were also creating beliefs.</i>,neutral,0.914757490158081
[Riley echoing],neutral,0.8419197201728821
<i>Homework should be illegal.</i>,anger,0.5406531095504761
[groaning],disgust,0.696918249130249
[echoing] <i>Get Up and Glow,neutral,0.9096899628639221
is the best band ever!</i>,joy,0.5657455325126648
[Joy],neutral,0.8964211940765381
<i>And my personal favorite...</i>,joy,0.47486424446105957
[Riley echoing],neutral,0.8419197201728821
<i>I'm a really good friend.</i>,joy,0.9839670062065125
Did you know,surprise,0.7145893573760986
the change in your couch,surprise,0.6515169739723206
could change the world?,surprise,0.7503037452697754
"Oh, no!",surprise,0.3778568208217621
- [children exclaiming],joy,0.7698266506195068
- [coins clinking],neutral,0.7509914040565491
[children laughing],joy,0.8796287775039673
"Oh, no, we should do something.",fear,0.4586631655693054
No!,anger,0.5688469409942627
That girl is a social <i>Titanic.</i>,neutral,0.8780768513679504
- Do not get on that ship.,anger,0.3141864538192749
- [Fear] Uh...,fear,0.973334550857544
Guys...,neutral,0.6181163787841797
- [gasps],neutral,0.6995549201965332
- Wow.,surprise,0.9553030729293823
[all gasping],neutral,0.5290517210960388
[Joy] That is so pretty.,joy,0.5063053369522095
[children chuckling],joy,0.7204476594924927
It's okay.,neutral,0.60329270362854
I drop things all the time.,neutral,0.5638571381568909
I'm Riley.,neutral,0.8885048627853394
I'm Grace.,neutral,0.9339017271995544
I'm Bree.,neutral,0.8894574046134949
"[Joy] <i>Turns out, when you put</i>",neutral,0.7561931610107422
"<i>all of those beliefs together,</i>",neutral,0.9093236327171326
<i>they make the most wonderful,joy,0.8292441368103027
thing of all.</i>,neutral,0.8034715056419373
<i>Her Sense of Self.</i>,neutral,0.6399000883102417
[Riley echoing],neutral,0.8419197201728821
<i>I'm a good person.</i>,joy,0.9581210017204285
[Joy] <i>It's what helps Riley,joy,0.9232106804847717
make good choices.</i>,neutral,0.8722659945487976
"<i>Thirteen years of hard work,</i>",joy,0.4706140160560608
<i>all wrapped up in what some,neutral,0.7868477702140808
might call our masterpiece.</i>,neutral,0.4638780951499939
"<i>You know, one of the hardest</i>",neutral,0.32328036427497864
- <i>challenges we found...</i>,neutral,0.5892148613929749
- [buzzer sounds],joy,0.4625745415687561
"[Joy] <i>Oh, my gosh!",surprise,0.9324497580528259
We're back in the game.</i>,neutral,0.9462876319885254
[Sadness gasps] <i>We're tied.</i>,sadness,0.9848930835723877
How are we gonna score in time?,neutral,0.49862170219421387
[Fear] <i>Oh!,fear,0.9876669645309448
We use our slap shot!</i>,anger,0.8429771661758423
"No, no, no.",fear,0.33110928535461426
We charge the goalie!,anger,0.9345282912254333
But Grace hasn't scored yet.,neutral,0.8457441329956055
Riley's got this.,neutral,0.8538123369216919
Thread the needle!,anger,0.6259941458702087
"Come on, Riley.",neutral,0.7708725333213806
[player grunts],anger,0.41942793130874634
[audience cheering],joy,0.977969765663147
- [grunts],neutral,0.6446436643600464
- [players clamoring],neutral,0.5909813046455383
[Riley panting],neutral,0.6158643364906311
[player grunts],anger,0.41942793130874634
[panting],disgust,0.4002476632595062
- [grunts],neutral,0.6446436643600464
- [buzzer sounds],joy,0.4625745415687561
[audience cheering],joy,0.977969765663147
[all] Awooga! [chuckling],disgust,0.3030005693435669
[all] Awooga!,surprise,0.40512627363204956
"Yeah,",neutral,0.8006893992424011
that's what I'm talking about!,surprise,0.7955609560012817
Look at that! That's my girl!,anger,0.3648119568824768
[female announcer],neutral,0.8045559525489807
<i>And the Foghorns</i>,neutral,0.8963695168495178
<i>win the championship!</i>,joy,0.7733420729637146
[all cheering],joy,0.96319979429245
[cheering],joy,0.8247010111808777
- She shoots and she scores!,joy,0.587516188621521
"- Champions, baby!",joy,0.7941657900810242
"[woman] Hey, girls.",joy,0.4851926267147064
Congratulations on your win.,joy,0.6872278451919556
- That's the high school coach!,surprise,0.8114879131317139
- [both exclaiming],joy,0.6452819108963013
What a game!,surprise,0.8930420279502869
That last play? Whoo!,surprise,0.9125670194625854
The three of you,neutral,0.7640654444694519
were impressive.,surprise,0.956849992275238
"Thanks, Coach Roberts.",neutral,0.5115031003952026
"Look, it's last minute,",neutral,0.3688230514526367
"but every year,",neutral,0.6150960326194763
I do a three-day skills camp.,neutral,0.5354230403900146
I invite all the best players,joy,0.589924156665802
in the area.,neutral,0.40475475788116455
I'd love for you girls to come.,joy,0.8842685222625732
Are we in a dream right now?,surprise,0.6570048928260803
"Please, can somebody pinch me?",fear,0.4791540205478668
Ow!,disgust,0.4210648834705353
Definitely awake.,neutral,0.8994084596633911
"If we impress Coach,",neutral,0.802486777305603
she'll put the three of us,neutral,0.9485362768173218
on the team next year.,neutral,0.868687093257904
Ooh! The Fire Hawks!,surprise,0.8300542831420898
"Finally,",neutral,0.9045376777648926
a team I can get behind.,joy,0.39581745862960815
What do you say?,surprise,0.6839641332626343
- Yes!,joy,0.31348249316215515
- Absolutely yes.,neutral,0.7412425875663757
- We're there!,surprise,0.6588564515113831
"- Thank you,",joy,0.7378970980644226
"- thank you, thank you!",joy,0.8926827907562256
- Great.,joy,0.7788555026054382
We'll see you tomorrow.,neutral,0.481790691614151
Ah! This is amazing!,joy,0.6088098883628845
[all laughing],joy,0.6461085081100464
[knocking at door],fear,0.4918392300605774
- What a big day!,surprise,0.6035408973693848
- [exclaims],neutral,0.7092311382293701
You are such an all-star!,surprise,0.7409998774528503
You are gonna knock,anger,0.7853883504867554
the coach's skates off!,surprise,0.5959236025810242
"Hockey scholarship,",neutral,0.7452920079231262
here we come!,surprise,0.41197067499160767
"Dad, stop.",anger,0.6756891012191772
It's just hockey camp.,neutral,0.9549859166145325
"I mean,",disgust,0.5644359588623047
who knows what'll happen?,surprise,0.3653382360935211
- [referee blows whistle],anger,0.477295458316803
"- <i>Twenty-eight. Andersen,</i>",neutral,0.7060703635215759
- <i>tripping.</i>,neutral,0.6375949382781982
- [Sadness whimpering],sadness,0.9738034605979919
My penalty almost lost us,fear,0.7504826784133911
the game today.,neutral,0.5088286995887756
What if I get to camp,fear,0.8577910661697388
and I screw it up?,anger,0.690838098526001
"Hey, don't talk like that.",anger,0.4900338351726532
"Yeah,",neutral,0.8006893992424011
"you did great today, honey.",joy,0.7777118682861328
Exactly. Mom gets it.,neutral,0.8975890874862671
"Yeah, I guess.",neutral,0.8293735384941101
We're so proud of you.,neutral,0.5647306442260742
"Night, monkey.",neutral,0.43386492133140564
[mimics chittering],joy,0.5640324950218201
"- [mimics chittering, laughs]",joy,0.9427376985549927
"- All right, all right.",neutral,0.6046544313430786
"Sleep tight, honey.",neutral,0.6331629753112793
[door closes],neutral,0.4552353322505951
[sighs],disgust,0.4457285702228546
"Oh, Riley's so hard on herself.",sadness,0.45037683844566345
But we can make,neutral,0.8628779053688049
everything easier.,neutral,0.6175901293754578
[grunts],neutral,0.6844353079795837
"Behold, my super high-tech",neutral,0.6883625984191895
- Riley protection system.,neutral,0.8558739423751831
- [clangs],neutral,0.8456159234046936
"Don't look, it's fine.",anger,0.5663056969642639
This is for all those memories,neutral,0.9594694972038269
that belong,neutral,0.8305040001869202
"in the Back of the Mind,",neutral,0.542733907699585
like this penalty one.,neutral,0.4136674404144287
"It's weighing on her,",sadness,0.5327076315879822
so let's lighten the load.,neutral,0.7839268445968628
"A one-way expressway to,",neutral,0.8587700128555298
"""We're not gonna think",disgust,0.39530181884765625
"about that right now."" Whoo!",surprise,0.8505098819732666
- [Anger] Not bad.,anger,0.9518145322799683
"- [Sadness] Oh, Joy.",sadness,0.9773829579353333
- That's pretty impressive.,surprise,0.7953040599822998
- You worked hard.,neutral,0.7463937401771545
You take such good care,neutral,0.7728239297866821
of Riley.,neutral,0.716748833656311
"Thanks, I try.",neutral,0.6742120981216431
"Okay, let's do a sweep.",neutral,0.8243358135223389
"Oh, here's one",neutral,0.5339965224266052
where she waved at a guy,disgust,0.9423278570175171
who was actually waving,surprise,0.9475202560424805
at a girl behind her.,disgust,0.6929712295532227
"Oh, that was so bad.",disgust,0.8250153660774231
Good choice.,disgust,0.4202269911766052
"Oh, here's when she forgot",surprise,0.6247115135192871
that girl's name.,neutral,0.8903066515922546
"Oh, yeah,",neutral,0.722834587097168
that was super awkward.,disgust,0.9157747030258179
What was her name?,neutral,0.6563006043434143
"I don't know,",surprise,0.7060251235961914
Janet or something?,neutral,0.8082961440086365
Whatever. Let's just,neutral,0.8759346604347229
get rid of it. Oh! [chuckles],surprise,0.6316491961479187
We keep the best,neutral,0.9600294828414917
and toss the rest. [sighs],sadness,0.6373068690299988
"Nice work, everyone.",neutral,0.5862545371055603
"All right, Anger,",anger,0.9785065054893494
the rest of these babies,neutral,0.7131542563438416
can go to long-term.,neutral,0.8419792652130127
"Oh, okay.",neutral,0.39037618041038513
Let's get some shut-eye.,neutral,0.8278167843818665
Big day tomorrow.,surprise,0.5470905303955078
"Joy, are you taking that",joy,0.5631489753723145
where I think,neutral,0.6833621859550476
you're taking that?,surprise,0.7951791286468506
- Wanna come this time?,surprise,0.456724613904953
- Yes.,neutral,0.8436919450759888
I mean no. I...,disgust,0.47275295853614807
"Oh, no. I really shouldn't.",disgust,0.25811535120010376
"You know, you're the only one",neutral,0.7808051109313965
who hasn't been,surprise,0.901087760925293
to the Belief System.,neutral,0.8056247234344482
"Yeah, it's just that it's new,",neutral,0.9244904518127441
and I know how important it is.,neutral,0.8914802670478821
And I don't wanna mess it up,sadness,0.38256803154945374
"or break it,",anger,0.8316879868507385
or burn it to the ground,anger,0.9575296640396118
or anything.,neutral,0.42082712054252625
"Sadness, you won't hurt it,",sadness,0.9800223112106323
I promise.,neutral,0.7003595232963562
Have I ever,neutral,0.5327877402305603
steered you wrong before?,neutral,0.6050946712493896
"Yeah, many times.",neutral,0.8679372072219849
Come on.,anger,0.4805103838443756
[panel chimes],neutral,0.8790956735610962
"Where I go, you go.",neutral,0.8311096429824829
[♪ enchanting music playing],joy,0.936810314655304
[elevator dings],neutral,0.9234845638275146
"[gasps] Oh, my goodness.",surprise,0.890556812286377
[♪ gentle piano music playing],joy,0.5917529463768005
[splashing],neutral,0.7082419395446777
Whoa!,surprise,0.8872137069702148
[cord reverberates],neutral,0.6181827187538147
[young Riley echoing] <i>Mom,neutral,0.861474871635437
and Dad are proud of me.</i>,joy,0.4730633497238159
Ah! An oldie but a goodie.,joy,0.6830934882164001
[Young Riley] [Riley],neutral,0.9249868988990784
[echoing] <i>I'm kind.</i>,neutral,0.5800879001617432
Aw. That's nice.,joy,0.5488492250442505
[Riley echoing],neutral,0.8419197201728821
<i>I'm strong. I'm brave.</i>,joy,0.8038601875305176
<i>I'm a really good friend.</i>,joy,0.9839670062065125
[chuckles softly],neutral,0.8402857780456543
[muffled laughter],anger,0.443082720041275
[reverberates],neutral,0.8919205069541931
[Riley echoing],neutral,0.8419197201728821
<i>I'm a winner.</i>,joy,0.9109546542167664
[Joy] <i>And all those beliefs,neutral,0.5656152963638306
come together</i>,neutral,0.8586881756782532
<i>to make our Riley.</i>,neutral,0.5420552492141724
[Riley] <i>I'm a good person.</i>,joy,0.926798403263092
- [Joy snoring],neutral,0.55800861120224
- [Anger mumbling],anger,0.9776309132575989
[Joy chuckles],joy,0.5402806997299194
[distinct beep],neutral,0.708901047706604
"[chuckles, snores]",disgust,0.48168861865997314
- [distinct beep],neutral,0.7310796976089478
- [mumbles],sadness,0.5474139451980591
[continues snoring],neutral,0.696419358253479
- [distinct beep],neutral,0.7310796976089478
- Huh?,surprise,0.9447968006134033
[groaning],disgust,0.696918249130249
- What the heck is that?,surprise,0.7641072273254395
- [distinct beep],neutral,0.7310796976089478
[beeps],neutral,0.4972098767757416
[groans softly],neutral,0.7864375710487366
- [alarm blaring],fear,0.8893237113952637
- [all screaming],anger,0.5086983442306519
"Turn that off, Joy!",anger,0.5609008073806763
"[Fear] People,",fear,0.9541577696800232
it's the apocalypse!,surprise,0.5098638534545898
No!,anger,0.5688469409942627
What are you doing?,surprise,0.6313465237617493
[grunts] Um...,neutral,0.6275985240936279
[panting],disgust,0.4002476632595062
[chuckles] Whoo!,surprise,0.8827816843986511
Problem solved.,neutral,0.8383029699325562
Joy.,joy,0.5550557971000671
- [glass shatters],anger,0.43687883019447327
- [all screaming],anger,0.5086983442306519
"Okay, let's clear it all out.",neutral,0.4434664249420166
- It's demo day.,neutral,0.6514033079147339
- [workers cheering],joy,0.9831847548484802
[Joy] Demo?,surprise,0.6615706086158752
"Wait, wait, what's happening?",neutral,0.635684609413147
What's going on?,surprise,0.7751653790473938
- [roaring],neutral,0.8252735733985901
"- Whoa, whoa, whoa!",surprise,0.9362330436706543
- [worker grunts],disgust,0.5383842587471008
- [screams] Who are you people?,surprise,0.6751937866210938
[screams],fear,0.7690978646278381
- [screams],fear,0.83236163854599
- [worker laughs],joy,0.9341343641281128
"Hey, are you the one",surprise,0.5195587873458862
in charge here? [exclaims],neutral,0.41503018140792847
Could you do me a favor and stop,anger,0.7150219678878784
tearing Headquarters apart?,surprise,0.8464491963386536
No can do. Didn't you hear?,surprise,0.381321519613266
Permits just came through.,neutral,0.9356645345687866
Permits? For what?,anger,0.5347614884376526
For expanding the place.,joy,0.5800251364707947
"You know, for the others.",neutral,0.7923367023468018
- [worker exclaims],joy,0.7324884533882141
- [Joy coughs],neutral,0.4272489845752716
What others?,surprise,0.6954044699668884
They're not here yet?,surprise,0.4762100279331207
"Aye, yi, yi.",neutral,0.4657736122608185
"Hey, Margie,",joy,0.6156977415084839
you got that console?,surprise,0.8631128668785095
"Yeah, yeah, yeah.",neutral,0.4903012812137604
Give me a sec!,anger,0.4614948332309723
"Hey, hey! What are you doing?",joy,0.34657225012779236
- All right. She's all set.,neutral,0.7797685861587524
- Set with what?,surprise,0.5447471141815186
"[Dad] <i>Come on, Riley. Get up.</i>",neutral,0.5660725235939026
- Camp time.,neutral,0.6642580032348633
- [groans softly],neutral,0.7969114780426025
Lunch break!,neutral,0.4535546600818634
[workers chattering],disgust,0.5132971405982971
"Wait, wait!",neutral,0.5898149013519287
You can't leave it like this.,neutral,0.5431727766990662
"Don't worry, we'll be back.",neutral,0.514453113079071
[Dad] <i>Come on.,neutral,0.499187707901001
We're gonna be late.</i>,sadness,0.6569743156433105
"- Oh, no, no, no!",anger,0.27084848284721375
- [Dad] <i>Let's go!</i>,anger,0.3092230558395386
[groaning],disgust,0.696918249130249
"Riley, you aren't packed yet?",surprise,0.6529554128646851
Ugh! You're always on me!,disgust,0.7548651695251465
"Can't you just lay off for,",neutral,0.4675840735435486
"like, one second?",surprise,0.7028787136077881
"Uh, overreact much?",anger,0.6434552073478699
I barely touched it.,surprise,0.492870569229126
Those morons broke the console.,anger,0.7652310132980347
"Riley, what's wrong?",anger,0.4172648787498474
"- Oh, Mom looks sad.",sadness,0.973497211933136
- [console clicks],neutral,0.8402033448219299
I'm the worst!,disgust,0.9805874824523926
"- [Mom] Oh, no. Honey.",surprise,0.3351668417453766
- [crying],sadness,0.5984724164009094
I barely touched it.,surprise,0.492870569229126
That's what I said.,neutral,0.9254571199417114
[sobbing],neutral,0.7192423939704895
[sniffing],disgust,0.7513147592544556
Let the professional,neutral,0.8423143029212952
handle this.,neutral,0.8457393050193787
I'm too gross to go to camp,disgust,0.979832649230957
or anywhere ever again!,anger,0.32208552956581116
"Oh, yeah,",neutral,0.722834587097168
this is totally broken.,anger,0.6237515211105347
"Well, we all knew",neutral,0.8808631896972656
this day would come.,neutral,0.8243485689163208
"Remember, we agreed not to",neutral,0.8940722942352295
make a big deal about this.,neutral,0.5921187996864319
- But she really does stink.,disgust,0.9325507283210754
- [all agree],neutral,0.8836882710456848
"Oh, it's bad.",disgust,0.8491895794868469
Remain calm.,neutral,0.7917835116386414
Stick to the prepared script.,neutral,0.8035793304443359
"You are not gross, honey.",disgust,0.9527716040611267
You're just changing.,neutral,0.7259038686752319
Remember that,neutral,0.9541321992874146
beautiful butterfly,joy,0.8827346563339233
we saw in the park last week?,surprise,0.6163416504859924
"[echoing] <i>Well, that butterfly",neutral,0.7878077030181885
began as a caterpillar.</i>,disgust,0.5226079225540161
[Joy] Easy...,neutral,0.5981194972991943
[Mom] <i>And just like,neutral,0.8190416097640991
that caterpillar...</i>,neutral,0.8536195158958435
Easy...,neutral,0.921409010887146
<i>...you're about to,surprise,0.5566385984420776
get your wings.</i>,neutral,0.935513973236084
- But if you have questions...,neutral,0.8513496518135071
"- Oh, my gosh, Mom!",surprise,0.8979789018630981
Just go away! Ugh!,disgust,0.8210895657539368
"Well, that's a preview",neutral,0.9501269459724426
of the next 10 years.,neutral,0.92157381772995
- Riley!,surprise,0.4922792613506317
"- Oh, my gosh!",surprise,0.9279246926307678
- We're gonna have so much fun!,joy,0.9703283309936523
- [Dad] All right.,neutral,0.5876350402832031
Who's ready for hockey camp?,neutral,0.9253385066986084
"[girls] Oh, yeah!",surprise,0.3140582740306854
"[Joy] <i>Okay, until we can",neutral,0.8732181191444397
"figure this out,</i>",neutral,0.938996434211731
nobody touch the console,neutral,0.8034757375717163
unless you really need to.,neutral,0.7420954704284668
"So, big weekend for us.",joy,0.823026180267334
What do you wanna do?,surprise,0.27692490816116333
"Well, we could finally",neutral,0.7325248122215271
clean out the garage.,neutral,0.6891356110572815
"Or, actually,",neutral,0.8398457765579224
we can get upstairs...,neutral,0.8523820638656616
How great is next year gonna be?,surprise,0.6683036684989929
Coach Roberts' team has been,neutral,0.7953317165374756
state champs like every year.,neutral,0.7595908641815186
And Val Ortiz,neutral,0.8582184910774231
is the captain now.,neutral,0.8871959447860718
This Valentina Ortiz obsession,neutral,0.5283253788948059
is outta control.,anger,0.6472046375274658
"Uh, she made the Fire Hawks",neutral,0.9093325138092041
when she was only a freshman.,fear,0.6750414371490479
That's really hard.,disgust,0.3804522454738617
All we have to do,neutral,0.8775067925453186
"is be super awesome at camp,",joy,0.9214133620262146
"Coach will put us on the team,",neutral,0.8838575482368469
and we'll all be Fire Hawks!,neutral,0.3366265892982483
"- Wait, what was that?",surprise,0.9172255396842957
- What was what?,surprise,0.8998942375183105
We got a look.,neutral,0.7494552135467529
I don't like this.,disgust,0.8589829802513123
What? You're paranoid.,anger,0.33057525753974915
I never miss a look.,neutral,0.5118210911750793
[Disgust] Enhance 224... 176.,disgust,0.9634832143783569
Track right. Zoom in.,neutral,0.9537651538848877
Right there!,surprise,0.5216386318206787
- So?,surprise,0.7784115672111511
- She's hiding something.,disgust,0.45765164494514465
But what?,surprise,0.8208372592926025
What is she doing?,surprise,0.651098370552063
She's looking at our look!,surprise,0.5685117244720459
"No, it's much more than that.",neutral,0.8859766125679016
She looks the same to me.,disgust,0.6651835441589355
Overlay and compare.,neutral,0.9608078598976135
"See? Riley then, Riley now.",neutral,0.4844314754009247
"Riley then, Riley now.",neutral,0.9040856957435608
"- [all gasp, exclaim]",surprise,0.3924882709980011
"- Oh, It's so obvious!",surprise,0.8894442915916443
But what does it mean?,neutral,0.4864594042301178
She knows,neutral,0.8797758221626282
we're hiding something.,neutral,0.49980854988098145
What is happening right now?,surprise,0.6367303729057312
I don't know! I don't know!,surprise,0.7559544444084167
- I can't take this anymore!,anger,0.680224597454071
- Ah!,surprise,0.6138661503791809
You spilled the tea!,anger,0.6989152431488037
Coach Roberts isn't gonna be,sadness,0.5953962206840515
our coach next year.,neutral,0.6624611020088196
Grace!,joy,0.3013933002948761
[whimpers],disgust,0.4033295214176178
We... We got assigned to,neutral,0.6263680458068848
a different high school.,neutral,0.5668994784355164
A-ha! Oh...,joy,0.7373402118682861
"Oh, no.",disgust,0.23084723949432373
Oh...,neutral,0.6805174946784973
Okay. Um...,neutral,0.6940648555755615
Yeah. No big deal.,neutral,0.6569210886955261
- This is a huge deal!,joy,0.4763828217983246
- Our life is over!,sadness,0.8764030337333679
Is she serious right now?,surprise,0.2717362344264984
How long have they known this?,neutral,0.6810307502746582
- [Fear] I can't breathe.,fear,0.9833627939224243
- We can't go to high school,sadness,0.9599823355674744
- without Bree and Grace.,sadness,0.8979070782661438
- We won't know anybody.,neutral,0.4810730218887329
We'll still get to hang out.,neutral,0.8732495307922363
"And we'll have this weekend,",neutral,0.9253441095352173
which means,neutral,0.7669529318809509
we'll get one last time,neutral,0.7752647399902344
playing on the same team.,sadness,0.47747382521629333
"Friends are forever, right?",neutral,0.8938308358192444
Yeah. Of course.,neutral,0.7980110049247742
[both] Whoo!,surprise,0.8953195810317993
I can't wait to get to the rink.,joy,0.9784965515136719
When do we get our schedules?,neutral,0.829735517501831
[Grace],neutral,0.9315102100372314
I heard our room has a view...,surprise,0.7125290036201477
"Oh, this is so sad.",sadness,0.9731462001800537
"No, wait, Sadness!",sadness,0.9632951021194458
"- No, no, no! Don't!",fear,0.6829058527946472
- I don't have a good grip!,sadness,0.5454590320587158
Just keep it together,neutral,0.9333047866821289
until we're out of the car.,fear,0.480290949344635
[Dad] Here we are.,neutral,0.8449883460998535
This looks really cool.,joy,0.7771936655044556
Are you sure you don't need,neutral,0.8157109022140503
an assistant coach?,surprise,0.8618656992912292
'Cause I am available.,neutral,0.48881208896636963
- [Mom] Bill.,neutral,0.6570125818252563
- [Dad] No? All right.,neutral,0.4694315195083618
- We'll see you in a few days.,neutral,0.524204432964325
- [Mom] Have fun!,joy,0.7686906456947327
- [Bree] Thanks so much. Bye!,joy,0.8597915768623352
- Don't miss us too much.,sadness,0.9193362593650818
"- Okay, bye!",joy,0.3899551033973694
"- Wait. Riley,",neutral,0.8912539482116699
are you sure,neutral,0.5445311665534973
you have everything?,surprise,0.8613676428794861
- Stick?,neutral,0.4910425841808319
- Yes.,neutral,0.8436919450759888
- Gloves?,surprise,0.6821202039718628
- Yes.,neutral,0.8436919450759888
- You have your phone?,surprise,0.8963069915771484
"- Yes, of course.",neutral,0.8268189430236816
- Fully charged?,surprise,0.718997061252594
"- Yeah, it's like 50.",neutral,0.730323314666748
- What?,surprise,0.9411997199058533
"- Dad, it's fine.",neutral,0.5184862613677979
"Okay, call us if you need us.",neutral,0.7429790496826172
I love you. Go get 'em.,joy,0.8996356725692749
Okay. Love you guys.,joy,0.49053025245666504
- Don't forget the deodorant!,disgust,0.48846977949142456
- Mom!,joy,0.5098050832748413
"Bye, monkey.",disgust,0.5048969388008118
"Okay, now.",anger,0.3800849914550781
[crying],disgust,0.6300959587097168
It's okay. We need this.,neutral,0.6544657945632935
[sniffles],neutral,0.7100306153297424
